city_code city_name prov_name longitude latitude
512000 资阳市 四川 104.636 30.1322
513200 阿坝州 四川 102.229 31.9058
513300 甘孜州 四川 101.969 30.0551
513400 凉山州 四川 102.26 27.8924
520100 贵阳市 贵州 106.709 26.6299
520200 六盘水市 贵州 104.852 26.5919
520300 遵义市 贵州 106.931 27.7
520400 安顺市 贵州 105.928 26.2286
522200 铜仁地区 贵州 109.196 27.7263
522300 黔西南州 贵州 104.901 25.0951
522400 毕节市 贵州 105.333 27.4086
522600 黔东南州 贵州 107.985 26.584
522700 黔南州 贵州 107.523 26.2645
530100 昆明市 云南 102.715 25.0492
530300 曲靖市 云南 103.783 25.5208
530400 玉溪市 云南 102.545 24.3704
530500 保山市 云南 99.178 25.1205
530600 昭通市 云南 103.725 27.3406
530700 丽江市 云南 100.23 26.8754
530800 普洱市 云南 100.98 22.7888
530900 临沧市 云南 100.093 23.8878
532300 楚雄州 云南 101.529 25.0664
532522 红河州 云南 103.384 23.3677
532621 文山州 云南 104.246 23.3741
532801 西双版纳州 云南 100.803 22.0094
532901 大理州 云南 100.224 25.5969
533103 德宏州 云南 98.5894 24.4412
533300 怒江州 云南 98.8599 25.8607
533421 迪庆州 云南 99.7137 27.831
540100 拉萨市 西藏 91.1119 29.6626
542100 昌都市 西藏 96.3624 30.5109
542200 山南市 西藏 92.2209 28.355
542300 日喀则市 西藏 88.9561 29.2682
542400 那曲地区 西藏 92.067 31.4807
542500 阿里地区 西藏 81.1077 30.4046
542600 林芝市 西藏 95.4662 29.1281
610100 西安市 陕西 108.953 34.2778
610200 铜川市 陕西 108.968 34.9084
610300 宝鸡市 陕西 107.171 34.3641
610400 咸阳市 陕西 108.708 34.3454
610500 渭南市 陕西 109.484 34.5024
610600 延安市 陕西 109.501 36.6033
610700 汉中市 陕西 107.045 33.0816
610800 榆林市 陕西 109.746 38.2794
610900 安康市 陕西 109.038 32.7044
611000 商洛市 陕西 109.934 33.8739
620100 兰州市 甘肃 103.823 36.0642
620200 嘉峪关市 甘肃 98.2816 39.8024
620300 金昌市 甘肃 102.208 38.5161
620400 白银市 甘肃 104.171 36.5467
620500 天水市 甘肃 105.737 34.5843
620600 武威市 甘肃 102.64 37.9332
620700 张掖市 甘肃 100.46 38.9393
620800 平凉市 甘肃 106.689 35.5501
620900 酒泉市 甘肃 98.5084 39.7415
621000 庆阳市 甘肃 107.644 35.7268
621100 定西市 甘肃 104.627 35.5861
621200 陇南市 甘肃 104.935 33.3945
622900 临夏州 甘肃 103.215 35.5985
623000 甘南州 甘肃 102.917 34.9922
630100 西宁市 青海 101.768 36.6407
632100 海东地区 青海 102.085 36.5176
632200 海北州 青海 100.88 36.9607
632300 黄南州 青海 102.008 35.5229
632500 海南州 青海 100.624 36.2844
632600 果洛州 青海 100.224 34.4805
632700 玉树州 青海 97.0133 33.0062
632800 海西州 青海 97.3426 37.3738
640100 银川市 宁夏 106.206 38.5026
640200 石嘴山市 宁夏 106.379 39.0202
640300 吴忠市 宁夏 106.208 37.9936
640400 固原市 宁夏 106.285 36.0215
640500 中卫市 宁夏 105.197 37.5211
650100 乌鲁木齐市 新疆 87.565 43.8404
650200 克拉玛依市 新疆 84.8812 45.5943
652100 吐鲁番地区 新疆 89.1816 42.9605
652200 哈密地区 新疆 93.5284 42.8586
652300 昌吉州 新疆 87.296 44.0071
652700 博州 新疆 85.6149 42.127
652800 库尔勒市 新疆 85.7094 41.7055
652900 阿克苏地区 新疆 80.2698 41.1717
653000 克州 新疆 85.6149 42.127
653100 喀什地区 新疆 75.993 39.4706
653200 和田地区 新疆 79.9302 37.1168
654000 伊犁哈萨克州 新疆 81.2979 43.9222
654200 塔城地区 新疆 82.9749 46.7587
654300 阿勒泰地区 新疆 88.1379 47.8397
659001 石河子市 新疆 86.0419 44.3083
659004 五家渠市 新疆 87.5655 44.3689
